v1,v2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,id,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),tweet,URLs in Tweet,Domains in Tweet,hashtags,tweet_date,Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,pos_count,pos_per,neg_count,neg_per,Sentiment List #3: (Add your own word list) Word Count,Sentiment List #3: (Add your own word list) Word Percentage (%),noncat_count,noncat_per,edgecontent_count
abpmajhatv,abpmajhatv,,,,,,,,,,618,,,Tweet,29-04-2021 15:36,Kerala Exit Poll Results: लेफ्ट डेमोक्रेटिक फ्रंट केरळमध्ये पुन्हा सत्ता काबीज करणार; एबीपी-सी व्होटर एक्झिट पोलचा… https://t.co/QInmjFVWWZ,https://twitter.com/i/web/status/1387793013414400001,twitter.com,,29-04-2021 15:36,https://twitter.com/#!/abpmajhatv/status/1387793013414400001,,,1387793013414400001,,0,0.000,0,0.000,0,0.000,40,100.000,40
denzdaniel,b_sreejan,,,,,,,,,,619,,,Mentions,29-04-2021 15:40,"RT @b_sreejan: India Today exit poll predicts 104 to 120, CNN News 18 and Republic TV predicts 72 to 80 seats and NDTV predicts 76 seats fo…",,,,29-04-2021 15:40,https://twitter.com/#!/denzdaniel/status/1387793944134651905,,,1387793944134651905,,0,0.000,0,0.000,0,0.000,27,100.000,27
mourinhosimp,timesdemocracy,,,,,,,,,,620,,,Mentions,29-04-2021 15:45,"RT @TimesDemocracy: Democracy Times Network Exit Poll Projections-

Kerala: 140 seats

𝗟𝗗𝗙: 74 Seats
𝗨𝗗𝗙: 64 Seats
𝗡𝗗𝗔: 01 Seat
𝗢𝗧𝗛𝗘𝗥𝗦: 01…",,,,29-04-2021 15:45,https://twitter.com/#!/mourinhosimp/status/1387795204342620165,,,1387795204342620165,,0,0.000,0,0.000,0,0.000,18,100.000,18
gujgujaratex,gujgujaratex,,,,,,,,,,621,,,Tweet,29-04-2021 15:46,"Kerala C-Voter Exit Poll: કેરલમાં ફરીથી લેફ્ટની સરકાર
#KeralaElections2021 #ExitPolls #CVoters #Keralapolls
https://t.co/0um8o5Tkze",https://gujaratexclusive.in/kerala-c-voter-exit-poll-left-government-again-in-kerala/,gujaratexclusive.in,keralaelections2021 exitpolls cvoters keralapolls,29-04-2021 15:46,https://twitter.com/#!/gujgujaratex/status/1387795373838585860,,,1387795373838585860,,0,0.000,0,0.000,0,0.000,18,100.000,18
mrsairao,drshamamohd,,,,,,,,,,622,,,Replies to,29-04-2021 15:47,"@drshamamohd feel very sorry for you , how long will you defend a clown prince like #RahulGandhi ? time for you to… https://t.co/ikmok2yGf7",https://twitter.com/i/web/status/1387795595344154628,twitter.com,rahulgandhi,29-04-2021 15:47,https://twitter.com/#!/mrsairao/status/1387795595344154628,,,1387795595344154628,,1,5.000,1,5.000,0,0.000,18,90.000,20
universesauce,timesdemocracy,,,,,,,,,,623,,,Mentions,29-04-2021 15:48,"RT @TimesDemocracy: Democracy Times Network Exit Poll Projections-

Kerala: 140 seats

𝗟𝗗𝗙: 74 Seats
𝗨𝗗𝗙: 64 Seats
𝗡𝗗𝗔: 01 Seat
𝗢𝗧𝗛𝗘𝗥𝗦: 01…",,,,29-04-2021 15:48,https://twitter.com/#!/universesauce/status/1387796053781479424,,,1387796053781479424,,0,0.000,0,0.000,0,0.000,18,100.000,18
indiatoday,indiatoday,,,,,,,,,,624,,,Tweet,29-04-2021 07:34,"Watch West Bengal, Tamil Nadu, Assam, Kerala and Puducherry election results with prime time team on 2nd May, 6 AM… https://t.co/gD26zxgZqR",https://twitter.com/i/web/status/1387671707511529476,twitter.com,,29-04-2021 07:34,https://twitter.com/#!/indiatoday/status/1387671707511529476,,,1387671707511529476,,0,0.000,0,0.000,0,0.000,20,100.000,20
shilpasunil_rao,indiatoday,,,,,,,,,,625,,,Mentions,29-04-2021 15:51,#Kerala #keralaelections2021 #keralaelections #IntheOcean #Intheocean @sardesairajdeep @IndiaToday @rahulkanwal 😀😀🤣👌,,,kerala keralaelections2021 keralaelections intheocean intheocean,29-04-2021 15:51,https://twitter.com/#!/shilpasunil_rao/status/1387796628216684549,,,1387796628216684549,,,,,,,,,,
shilpasunil_rao,rahulkanwal,,,,,,,,,,626,,,Mentions,29-04-2021 15:51,#Kerala #keralaelections2021 #keralaelections #IntheOcean #Intheocean @sardesairajdeep @IndiaToday @rahulkanwal 😀😀🤣👌,,,kerala keralaelections2021 keralaelections intheocean intheocean,29-04-2021 15:51,https://twitter.com/#!/shilpasunil_rao/status/1387796628216684549,,,1387796628216684549,,0,0.000,0,0.000,0,0.000,8,100.000,8
shilpasunil_rao,sardesairajdeep,,,,,,,,,,627,,,Mentions,29-04-2021 15:51,#Kerala #keralaelections2021 #keralaelections #IntheOcean #Intheocean @sardesairajdeep @IndiaToday @rahulkanwal 😀😀🤣👌,,,kerala keralaelections2021 keralaelections intheocean intheocean,29-04-2021 15:51,https://twitter.com/#!/shilpasunil_rao/status/1387796628216684549,,,1387796628216684549,,,,,,,,,,
ramdasrocks,ramdasrocks,,,,,,,,,,628,,,Tweet,29-04-2021 10:47,UDF ന് 75 സീറ്റുകൾ കിട്ടും എന്നാണ് തോന്നുന്നത്.... പക്ഷേ 15-20 സീറ്റുകൾ നിർണ്ണായകമാണ്.... എൽഡിഎഫ് ചെറിയ ഭൂരിപക്ഷ… https://t.co/Ptv31ZFnE7,https://twitter.com/i/web/status/1387720207398014979,twitter.com,,29-04-2021 10:47,https://twitter.com/#!/ramdasrocks/status/1387720207398014979,,,1387720207398014979,,0,0.000,0,0.000,0,0.000,40,100.000,40
ma14186314,ramdasrocks,,,,,,,,,,629,,,Mentions,29-04-2021 10:49,RT @ramdasrocks: UDF ന് 75 സീറ്റുകൾ കിട്ടും എന്നാണ് തോന്നുന്നത്.... പക്ഷേ 15-20 സീറ്റുകൾ നിർണ്ണായകമാണ്.... എൽഡിഎഫ് ചെറിയ ഭൂരിപക്ഷത്തോടെ കയ…,,,,29-04-2021 10:49,https://twitter.com/#!/ma14186314/status/1387720665763962890,,,1387720665763962890,,0,0.000,0,0.000,0,0.000,45,100.000,45
ma14186314,timesdemocracy,,,,,,,,,,630,,,Mentions,29-04-2021 15:52,"RT @TimesDemocracy: Democracy Times Network Exit Poll Projections-

Kerala: 140 seats

𝗟𝗗𝗙: 74 Seats
𝗨𝗗𝗙: 64 Seats
𝗡𝗗𝗔: 01 Seat
𝗢𝗧𝗛𝗘𝗥𝗦: 01…",,,,29-04-2021 15:52,https://twitter.com/#!/ma14186314/status/1387796922505695232,,,1387796922505695232,,0,0.000,0,0.000,0,0.000,18,100.000,18
jolan_baudoin,perspcommuniste,,,,,,,,,,631,,,Mentions,29-04-2021 15:53,RT @PerspCommuniste: Le sondage sorti des urnes au #Kerala (India Today Exit poll) donne aux #communistes une victoire historique aux élect…,,,kerala communistes,29-04-2021 15:53,https://twitter.com/#!/jolan_baudoin/status/1387797133932257285,,,1387797133932257285,,0,0.000,0,0.000,0,0.000,21,100.000,21
indiaaheadhindi,indiaaheadhindi,,,,,,,,,,632,,,Tweet,29-04-2021 15:55,"P-MARQ के मुताबिक केरल का एग्जिट पोल-
पार्टी                 अनुमानित सीट
एलडीएफ              72-79
यूडीएफ… https://t.co/FxTSEkGyE9",https://twitter.com/i/web/status/1387797752986308611,twitter.com,,29-04-2021 15:55,https://twitter.com/#!/indiaaheadhindi/status/1387797752986308611,,,1387797752986308611,,0,0.000,0,0.000,0,0.000,31,100.000,31
niftyteam1,niftyteam1,,,,,,,,,,633,,,Tweet,29-04-2021 15:58,"#ExitPoll  👇

West Bengal - No clarity
#TamilNaduElections2021 - DMK ✅
#AssamPolls - BJP ✅
#keralaelections2021 - L… https://t.co/EcCFvqMLqY",https://twitter.com/i/web/status/1387798384992415748,twitter.com,exitpoll tamilnaduelections2021 assampolls keralaelections2021,29-04-2021 15:58,https://twitter.com/#!/niftyteam1/status/1387798384992415748,,,1387798384992415748,,1,9.091,0,0.000,0,0.000,10,90.909,11
sbrigitta,asiaelects,,,,,,,,,,634,,,Mentions,29-04-2021 15:59,RT @AsiaElects: India (Kerala): All exit polls for the  regional election project LDF (Left) to win a majority in the legislature. This  wo…,,,,29-04-2021 15:59,https://twitter.com/#!/sbrigitta/status/1387798673476657157,,,1387798673476657157,,1,4.348,0,0.000,0,0.000,22,95.652,23
datoworld,datoworld,,,,,,,,,,635,,,Tweet,29-04-2021 15:19,"🇮🇳#India| EXIT POLL para la Asamblea Legislativas del estado de Kerala: 

🔴LDF (Comunista): 47% (104-120) 
🔵UDF (Ce… https://t.co/kVqCtAlSJI",https://twitter.com/i/web/status/1387788731336347658,twitter.com,india,29-04-2021 15:19,https://twitter.com/#!/datoworld/status/1387788731336347658,,,1387788731336347658,,0,0.000,0,0.000,0,0.000,18,100.000,18
donaldoreagan,datoworld,,,,,,,,,,636,,,Mentions,29-04-2021 15:59,"RT @Datoworld: 🇮🇳#India| EXIT POLL para la Asamblea Legislativas del estado de Kerala: 

🔴LDF (Comunista): 47% (104-120) 
🔵UDF (Centro): 38…",,,india,29-04-2021 15:59,https://twitter.com/#!/donaldoreagan/status/1387798787087814663,,,1387798787087814663,,0,0.000,0,0.000,0,0.000,21,100.000,21
bilou78700,perspcommuniste,,,,,,,,,,637,,,Mentions,29-04-2021 16:02,RT @PerspCommuniste: Le sondage sorti des urnes au #Kerala (India Today Exit poll) donne aux #communistes une victoire historique aux élect…,,,kerala communistes,29-04-2021 16:02,https://twitter.com/#!/bilou78700/status/1387799439662882825,,,1387799439662882825,,0,0.000,0,0.000,0,0.000,21,100.000,21
karlforterre,perspcommuniste,,,,,,,,,,638,,,Mentions,29-04-2021 16:04,RT @PerspCommuniste: Le sondage sorti des urnes au #Kerala (India Today Exit poll) donne aux #communistes une victoire historique aux élect…,,,kerala communistes,29-04-2021 16:04,https://twitter.com/#!/karlforterre/status/1387799971441922050,,,1387799971441922050,,0,0.000,0,0.000,0,0.000,21,100.000,21
agitateur31,perspcommuniste,,,,,,,,,,639,,,Mentions,29-04-2021 16:04,RT @PerspCommuniste: Le sondage sorti des urnes au #Kerala (India Today Exit poll) donne aux #communistes une victoire historique aux élect…,,,kerala communistes,29-04-2021 16:04,https://twitter.com/#!/agitateur31/status/1387800014081167361,,,1387800014081167361,,0,0.000,0,0.000,0,0.000,21,100.000,21
_hashtagged,_hashtagged,,,,,,,,,,640,,,Tweet,29-04-2021 16:05,Apology me nothing doing #May2 #keralaelections2021 #LDF,,,may2 keralaelections2021 ldf,29-04-2021 16:05,https://twitter.com/#!/_hashtagged/status/1387800198752083975,,,1387800198752083975,,0,0.000,0,0.000,0,0.000,7,100.000,7
king_rizu,hereworks,,,,,,,,,,641,,,Mentions,29-04-2021 16:05,"RT @HereWorks: #KeralaElections2021 

Here's what Exit Polls in Kerala predict.

#1ShotNews | #Kerala | #KeralaExitPolls | #LDF | #LDFForSu…",,,keralaelections2021 1shotnews kerala keralaexitpolls ldf,29-04-2021 16:05,https://twitter.com/#!/king_rizu/status/1387800286933045256,,,1387800286933045256,,0,0.000,0,0.000,0,0.000,15,100.000,15
hum_bolega,hum_bolega,,,,,,,,,,642,,,Tweet,29-04-2021 16:07,"Times Now shows BJP gonna win just one (1) seat in #keralaelections2021 as per their #ExitPoll 

Is it the one that… https://t.co/6Px3ZdyHKW",https://twitter.com/i/web/status/1387800633751707649,twitter.com,keralaelections2021 exitpoll,29-04-2021 16:07,https://twitter.com/#!/hum_bolega/status/1387800633751707649,,,1387800633751707649,,1,4.762,0,0.000,0,0.000,20,95.238,21
2021_election,2021_election,,,,,,,,,,643,,,Tweet,29-04-2021 11:59,"KERALA EXIT POLLS 2021

TOTAL SEATS - 140
Major Mark - 71

LDF - 73 (69-77)
UDF - 66 (62-70)
NDA - 01(00-02)… https://t.co/ua7R5J4eXx",https://twitter.com/i/web/status/1387738220264230919,twitter.com,,29-04-2021 11:59,https://twitter.com/#!/2021_election/status/1387738220264230919,,,1387738220264230919,,0,0.000,0,0.000,0,0.000,22,100.000,22
priyans21744271,2021_election,,,,,,,,,,644,,,Mentions,29-04-2021 16:07,"RT @2021_election: KERALA EXIT POLLS 2021

TOTAL SEATS - 140
Major Mark - 71

LDF - 73 (69-77)
UDF - 66 (62-70)
NDA - 01(00-02)

#keralaele…",,,,29-04-2021 16:07,https://twitter.com/#!/priyans21744271/status/1387800706334212097,,,1387800706334212097,,0,0.000,0,0.000,0,0.000,25,100.000,25
priyans21744271,pendown,,,,,,,,,,645,,,Mentions,28-04-2021 04:28,"RT @pendown: Ok, here it goes. My prediction of Kerala elections: UDF - 75, LDF - 62, BJP - 2, T20 - 1. #keralaelections2021",,,keralaelections2021,28-04-2021 04:28,https://twitter.com/#!/priyans21744271/status/1387262442493726722,,,1387262442493726722,,0,0.000,0,0.000,0,0.000,20,100.000,20
saloniyaduvans2,saloniyaduvans2,,,,,,,,,,646,,,Tweet,29-04-2021 16:10,"It would have been much without #ExitPoll!

So confusing. No clear indication except for #TamilNaduElections! Hell… https://t.co/oEGVb6fNG4",https://twitter.com/i/web/status/1387801506192117764,twitter.com,exitpoll tamilnaduelections,29-04-2021 16:10,https://twitter.com/#!/saloniyaduvans2/status/1387801506192117764,,,1387801506192117764,,1,6.250,2,12.500,0,0.000,13,81.250,16
imshivmgoyal,moneycontrolcom,,,,,,,,,,647,,,Mentions,29-04-2021 16:13,"RT @moneycontrolcom: #KeralaElections2021: A survey predicted the LDF to win 104-120 seats, whereas, the Congress-led United Democratic Fro…",,,keralaelections2021,29-04-2021 16:13,https://twitter.com/#!/imshivmgoyal/status/1387802163884150786,,,1387802163884150786,,2,10.000,0,0.000,0,0.000,18,90.000,20
